date,store_id,sku_id,on_hand_units,stockout_flag,days_of_cover,lead_time_days,safety_stock,avg_daily_demand,category,shelf_life_days,safety_stock_days,inventory_risk,recommended_action
2026-01-30,ST001,SKU0001,0,1,0.0,0.0,0.0,3.649122807017544,Personal Care,510,0.0,Healthy,No Action
2026-01-30,ST001,SKU0002,0,1,0.0,0.0,0.0,4.0,Home Care,536,0.0,Healthy,No Action
2026-01-30,ST001,SKU0003,0,1,0.0,0.0,0.0,7.491228070175438,Snacks,396,0.0,Healthy,No Action
2026-01-30,ST001,SKU0004,0,1,0.0,0.0,0.0,8.333333333333334,Snacks,420,0.0,Healthy,No Action
2026-01-30,ST001,SKU0005,0,1,0.0,0.0,0.0,6.4035087719298245,Beverages,373,0.0,Healthy,No Action
2026-01-30,ST001,SKU0006,0,1,0.0,0.0,0.0,9.789473684210526,Dairy,21,0.0,Healthy,No Action
2026-01-30,ST001,SKU0007,0,1,0.0,0.0,0.0,10.947368421052632,Dairy,8,0.0,Healthy,No Action
2026-01-30,ST001,SKU0008,0,1,0.0,0.0,0.0,8.035087719298245,Beverages,507,0.0,Healthy,No Action
2026-01-30,ST001,SKU0009,0,1,0.0,0.0,0.0,2.736842105263158,Home Care,585,0.0,Healthy,No Action
2026-01-30,ST001,SKU0010,0,1,0.0,7.0,12.195674384149918,3.263157894736842,Home Care,703,3.7373840854652975,Stockout Risk,Urgent Replenishment
2026-01-30,ST001,SKU0011,0,1,0.0,0.0,0.0,6.842105263157895,Beverages,295,0.0,Healthy,No Action
2026-01-30,ST001,SKU0012,0,1,0.0,0.0,0.0,9.0,Dairy,18,0.0,Healthy,No Action
2026-01-30,ST001,SKU0013,0,1,0.0,0.0,0.0,7.263157894736842,Beverages,569,0.0,Healthy,No Action
2026-01-30,ST001,SKU0014,0,1,0.0,0.0,0.0,8.491228070175438,Snacks,238,0.0,Healthy,No Action
2026-01-30,ST001,SKU0015,0,1,0.0,0.0,0.0,6.701754385964913,Beverages,548,0.0,Healthy,No Action
2026-01-30,ST001,SKU0016,0,1,0.0,0.0,0.0,8.385964912280702,Snacks,667,0.0,Healthy,No Action
2026-01-30,ST001,SKU0017,0,1,0.0,0.0,0.0,6.9298245614035086,Beverages,402,0.0,Healthy,No Action
2026-01-30,ST001,SKU0018,0,1,0.0,0.0,0.0,2.9649122807017543,Home Care,527,0.0,Healthy,No Action
2026-01-30,ST001,SKU0019,0,1,0.0,0.0,0.0,14.052631578947368,Grocery,19,0.0,Healthy,No Action
2026-01-30,ST001,SKU0020,0,1,0.0,0.0,0.0,7.245614035087719,Beverages,304,0.0,Healthy,No Action
2026-01-30,ST001,SKU0021,0,1,0.0,0.0,0.0,9.719298245614034,Dairy,12,0.0,Healthy,No Action
2026-01-30,ST001,SKU0022,0,1,0.0,0.0,0.0,8.12280701754386,Snacks,254,0.0,Healthy,No Action
2026-01-30,ST001,SKU0023,0,1,0.0,0.0,0.0,10.298245614035087,Dairy,9,0.0,Healthy,No Action
2026-01-30,ST001,SKU0024,0,1,0.0,0.0,0.0,8.43859649122807,Beverages,491,0.0,Healthy,No Action
2026-01-30,ST001,SKU0025,0,1,0.0,5.0,20.328431722053608,7.228070175438597,Beverages,565,2.8124286605753777,Stockout Risk,Urgent Replenishment
2026-01-30,ST001,SKU0026,0,1,0.0,0.0,0.0,2.754385964912281,Home Care,472,0.0,Healthy,No Action
2026-01-30,ST001,SKU0027,0,1,0.0,0.0,0.0,2.736842105263158,Home Care,347,0.0,Healthy,No Action
