store_id,sku_id,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,safety_stock,reorder_point,recommended_order_qty,on_hand_units,moq_units,shelf_life_days,store_size,store_capacity
ST001,SKU0001,3.649122807017544,2.669210879041216,0.0,0.95,0.0,0.0,12,0,12,510,M,10000
ST001,SKU0002,4.0,2.7710235344672607,0.0,0.95,0.0,0.0,12,0,12,536,M,10000
ST001,SKU0003,7.491228070175438,4.342986164156541,0.0,0.95,0.0,0.0,48,0,48,396,M,10000
ST001,SKU0004,8.333333333333334,4.943730999000269,0.0,0.95,0.0,0.0,24,0,24,420,M,10000
ST001,SKU0005,6.4035087719298245,3.692945248921086,0.0,0.95,0.0,0.0,12,0,12,373,M,10000
ST001,SKU0006,9.789473684210526,5.936379494587538,0.0,0.95,0.0,0.0,24,0,24,21,M,10000
ST001,SKU0007,10.947368421052632,6.990864070422757,0.0,0.95,0.0,0.0,6,0,6,8,M,10000
ST001,SKU0008,8.035087719298245,5.490136975524842,0.0,0.95,0.0,0.0,12,0,12,507,M,10000
ST001,SKU0009,2.736842105263158,1.986798535597566,0.0,0.95,0.0,0.0,12,0,12,585,M,10000
ST001,SKU0010,3.263157894736842,2.7936555403620336,7.0,0.95,12.195674384149918,35.037779647307815,35,0,12,703,M,10000
ST001,SKU0011,6.842105263157895,4.34983363263228,0.0,0.95,0.0,0.0,6,0,6,295,M,10000
ST001,SKU0012,9.0,5.644213218610974,0.0,0.95,0.0,0.0,12,0,12,18,M,10000
ST001,SKU0013,7.263157894736842,4.029029995764107,0.0,0.95,0.0,0.0,6,0,6,569,M,10000
ST001,SKU0014,8.491228070175438,6.822030507893276,0.0,0.95,0.0,0.0,12,0,12,238,M,10000
ST001,SKU0015,6.701754385964913,4.784517113568,0.0,0.95,0.0,0.0,12,0,12,548,M,10000
ST001,SKU0016,8.385964912280702,5.031168516518207,0.0,0.95,0.0,0.0,24,0,24,667,M,10000
ST001,SKU0017,6.9298245614035086,5.188791660612623,0.0,0.95,0.0,0.0,6,0,6,402,M,10000
ST001,SKU0018,2.9649122807017543,2.2116970882164364,0.0,0.95,0.0,0.0,12,0,12,527,M,10000
ST001,SKU0019,14.052631578947368,7.689094904546817,0.0,0.95,0.0,0.0,24,0,24,19,M,10000
ST001,SKU0020,7.245614035087719,4.396754898113518,0.0,0.95,0.0,0.0,6,0,6,304,M,10000
ST001,SKU0021,9.719298245614034,6.74207043751852,0.0,0.95,0.0,0.0,48,0,48,12,M,10000
ST001,SKU0022,8.12280701754386,4.807249642239002,0.0,0.95,0.0,0.0,48,0,48,254,M,10000
ST001,SKU0023,10.298245614035087,6.230583876218704,0.0,0.95,0.0,0.0,12,0,12,9,M,10000
ST001,SKU0024,8.43859649122807,5.59661104042836,0.0,0.95,0.0,0.0,12,0,12,491,M,10000
ST001,SKU0025,7.228070175438597,5.509788509875755,5.0,0.95,20.328431722053608,56.4687825992466,56,0,6,565,M,10000
ST001,SKU0026,2.754385964912281,2.487688986032633,0.0,0.95,0.0,0.0,12,0,12,472,M,10000
ST001,SKU0027,2.736842105263158,2.4822679418907105,0.0,0.95,0.0,0.0,24,0,24,347,M,10000
ST001,SKU0028,4.4035087719298245,3.839920242488335,0.0,0.95,0.0,0.0,6,0,6,514,M,10000
ST001,SKU0029,8.666666666666666,4.867286327151526,0.0,0.95,0.0,0.0,24,0,24,341,M,10000
